reference_date,horizon,location,output_type_id,term,coefficient,selected_alpha,training_sample_count
2026-01-11,0,SE,0.5,intercept,7.54079791932,0.01,14
2026-01-11,0,SE,0.5,hubdemo-damped4,0,0.01,14
2026-01-11,0,SE,0.5,hubdemo-exptrend4,0,0.01,14
2026-01-11,0,SE,0.5,hubdemo-linear4,0,0.01,14
2026-01-11,0,SE,0.5,hubdemo-mean3,0,0.01,14
2026-01-11,0,SE,0.5,hubdemo-mean6,0.367656982655,0.01,14
2026-01-11,0,SE,0.5,hubdemo-persistence,1.10386701094,0.01,14
2026-01-11,0,SE,0.75,intercept,163.786973846,0.1,14
2026-01-11,0,SE,0.75,hubdemo-damped4,0,0.1,14
2026-01-11,0,SE,0.75,hubdemo-exptrend4,0,0.1,14
2026-01-11,0,SE,0.75,hubdemo-linear4,0,0.1,14
2026-01-11,0,SE,0.75,hubdemo-mean3,0,0.1,14
2026-01-11,0,SE,0.75,hubdemo-mean6,0.471048734827,0.1,14
2026-01-11,0,SE,0.75,hubdemo-persistence,0.950323983928,0.1,14
2026-01-11,0,SE,0.9,intercept,193.640147815,0.01,14
2026-01-11,0,SE,0.9,hubdemo-damped4,0.362369586532,0.01,14
2026-01-11,0,SE,0.9,hubdemo-exptrend4,0.523588884993,0.01,14
2026-01-11,0,SE,0.9,hubdemo-linear4,0,0.01,14
2026-01-11,0,SE,0.9,hubdemo-mean3,0,0.01,14
2026-01-11,0,SE,0.9,hubdemo-mean6,0,0.01,14
2026-01-11,0,SE,0.9,hubdemo-persistence,0,0.01,14
2026-01-11,0,SE,0.975,intercept,211.65613535,0.01,14
2026-01-11,0,SE,0.975,hubdemo-damped4,0.386225289669,0.01,14
2026-01-11,0,SE,0.975,hubdemo-exptrend4,0.4983061204,0.01,14
2026-01-11,0,SE,0.975,hubdemo-linear4,0,0.01,14
2026-01-11,0,SE,0.975,hubdemo-mean3,0,0.01,14
2026-01-11,0,SE,0.975,hubdemo-mean6,0,0.01,14
