location,location_name,year,week,target_end_date,value,status,release_status,data_version,source_region_code,source_year_week,official_release_time
SE-M,Region Skåne,2016,52,2017-01-01,79,available,historical,2026-08-25T00:00:00Z,12,2016W52,
SE-O,Västra Götalandsregionen,2016,52,2017-01-01,133,available,historical,2026-08-25T00:00:00Z,14,2016W52,
SE,Sverige,2017,1,2017-01-08,988,available,historical,2026-08-25T00:00:00Z,00,2017W01,
SE-M,Region Skåne,2017,1,2017-01-08,64,available,historical,2026-08-25T00:00:00Z,12,2017W01,
SE-O,Västra Götalandsregionen,2017,1,2017-01-08,140,available,historical,2026-08-25T00:00:00Z,14,2017W01,
SE,Sverige,2017,2,2017-01-15,905,available,historical,2026-08-25T00:00:00Z,00,2017W02,
SE-M,Region Skåne,2017,2,2017-01-15,95,available,historical,2026-08-25T00:00:00Z,12,2017W02,
SE-O,Västra Götalandsregionen,2017,2,2017-01-15,131,available,historical,2026-08-25T00:00:00Z,14,2017W02,
SE,Sverige,2017,3,2017-01-22,631,available,historical,2026-08-25T00:00:00Z,00,2017W03,
SE-M,Region Skåne,2017,3,2017-01-22,77,available,historical,2026-08-25T00:00:00Z,12,2017W03,
SE-O,Västra Götalandsregionen,2017,3,2017-01-22,96,available,historical,2026-08-25T00:00:00Z,14,2017W03,
SE,Sverige,2017,4,2017-01-29,684,available,historical,2026-08-25T00:00:00Z,00,2017W04,
SE-M,Region Skåne,2017,4,2017-01-29,95,available,historical,2026-08-25T00:00:00Z,12,2017W04,
SE-O,Västra Götalandsregionen,2017,4,2017-01-29,100,available,historical,2026-08-25T00:00:00Z,14,2017W04,
SE,Sverige,2017,5,2017-02-05,699,available,historical,2026-08-25T00:00:00Z,00,2017W05,
SE-M,Region Skåne,2017,5,2017-02-05,88,available,historical,2026-08-25T00:00:00Z,12,2017W05,
